,name,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_month,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,international,european_or_international,time_to_first_funding,status_encoded
0,#waywire,News,1750000.0,acquired,USA,NY,New York City,New York,1.0,6,2012,1750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.07945205479452055,0
11,1000 Markets,Marketplaces,500000.0,acquired,other,other,other,other,1.0,1,2009,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,international,0.36712328767123287,0
12,1000memories,Curated Web,2535000.0,acquired,USA,CA,SF Bay Area,San Francisco,2.0,7,2010,15000.0,2520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,-0.4958904109589041,0
17,100Plus,Analytics,1250000.0,acquired,USA,CA,SF Bay Area,San Francisco,2.0,9,2011,750000.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.12876712328767123,0
20,10BestThings,Curated Web,50000.0,closed,USA,OH,Cleveland,Cleveland,1.0,4,2009,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.0,1
36,12Society,E-Commerce,0.0,acquired,USA,CA,Los Angeles,West Hollywood,1.0,1,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.2602739726027397,0
48,1bib,Curated Web,0.0,closed,CHN,other,Guangzhou,Guangzhou,1.0,1,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,international,2.1013698630136988,1
50,1Cast,Lifestyle,0.0,closed,USA,WA,Seattle,Kirkland,1.0,6,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,2.2,1
54,1DayMakeover,E-Commerce,50000.0,closed,USA,CA,"Orange County, California",Santa Ana,1.0,6,2008,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.0,1
92,24PageBooks,Software,50000.0,closed,USA,NY,"Rochester, New York",Rochester,1.0,1,2010,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,1.3917808219178083,1
