,name,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_month,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,time_to_first_funding,time_first_to_last_funding,status_encoded
0,#waywire,News,1750000.0,acquired,USA,NY,New York City,New York,1.0,6,2012,1750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07945205479452055,0.0,0
1,'Rock' Your Paper,Publishing,40000.0,operating,EST,other,Tallinn,Tallinn,1.0,10,2012,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2136986301369863,0.0,2
2,(In)Touch Network,Electronics,1500000.0,operating,GBR,other,London,London,1.0,4,2011,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3,-R- Ranch and Mine,Tourism,60000.0,operating,USA,TX,Dallas,Fort Worth,2.0,1,2014,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6246575342465753,0.1095890410958904,2
4,0-6.com,Curated Web,2000000.0,operating,other,other,other,other,1.0,1,2007,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2136986301369863,0.0,2
5,004 Technologies,Software,0.0,operating,USA,IL,"Springfield, Illinois",Champaign,1.0,1,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.561643835616438,0.0,2
6,"1,2,3 Listo",E-Commerce,40000.0,operating,CHL,other,Santiago,Las Condes,1.0,1,2012,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1342465753424658,0.0,2
7,1.618 Technology,Real Estate,0.0,operating,USA,FL,Orlando,Orlando,1.0,12,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12602739726027398,0.0,2
8,10 Minutes With,Education,4400000.0,operating,GBR,other,London,London,2.0,1,2013,400000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7698630136986302,2
9,10-20 Media,E-Commerce,2050000.0,operating,USA,MD,Baltimore,Woodbine,4.0,1,2001,0.0,0.0,0.0,0.0,0.0,2050000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.465753424657533,2.5287671232876714,2
10,1000 Corks,Search,40000.0,operating,USA,OR,"Portland, Oregon",Lake Oswego,1.0,1,2008,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.643835616438356,0.0,2
