name,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
#waywire, News ,1750000.0,acquired,USA,NY,New York City,New York,1.0,2012-06-01,2012-06,2012.0,2012-06-30,2012-06-30,1750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
&TV Communications, Games ,4000000.0,operating,USA,CA,Los Angeles,Los Angeles,2.0,,,,2010-06-04,2010-09-23,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'Rock' Your Paper, Publishing ,40000.0,operating,EST,,Tallinn,Tallinn,1.0,2012-10-26,2012-10,2012.0,2012-08-09,2012-08-09,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(In)Touch Network, Electronics ,1500000.0,operating,GBR,,London,London,1.0,2011-04-01,2011-04,2011.0,2011-04-01,2011-04-01,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-R- Ranch and Mine, Tourism ,60000.0,operating,USA,TX,Dallas,Fort Worth,2.0,2014-01-01,2014-01,2014.0,2014-08-17,2014-09-26,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
.Club Domains, Software ,7000000.0,,USA,FL,Ft. Lauderdale,Oakland Park,1.0,2011-10-10,2011-10,2011.0,2013-05-31,2013-05-31,0.0,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0
.Fox Networks, Advertising ,4912393.0,closed,ARG,,Buenos Aires,Buenos Aires,1.0,,,,2007-01-16,2007-01-16,0.0,0.0,0.0,4912393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-6.com, Curated Web ,2000000.0,operating,,,,,1.0,2007-01-01,2007-01,2007.0,2008-03-19,2008-03-19,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004 Technologies, Software ,0.0,operating,USA,IL,"Springfield, Illinois",Champaign,1.0,2010-01-01,2010-01,2010.0,2014-07-24,2014-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01Games Technology, Games ,41250.0,operating,HKG,,Hong Kong,Hong Kong,1.0,,,,2014-07-01,2014-07-01,41250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1,2,3 Listo", E-Commerce ,40000.0,operating,CHL,,Santiago,Las Condes,1.0,2012-01-01,2012-01,2012.0,2013-02-18,2013-02-18,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-4 All, Software ,0.0,operating,USA,NC,NC - Other,Connellys Springs,1.0,,,,2013-04-21,2013-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-800-DENTIST, Health and Wellness ,0.0,operating,USA,CA,Los Angeles,Los Angeles,1.0,1986-01-01,1986-01,1986.0,2010-08-19,2010-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-800-DOCTORS, Health and Wellness ,1750000.0,operating,USA,NJ,Newark,Iselin,1.0,1984-01-01,1984-01,1984.0,2011-03-02,2011-03-02,0.0,0.0,0.0,0.0,1750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.618 Technology, Real Estate ,0.0,operating,USA,FL,Orlando,Orlando,1.0,2013-12-07,2013-12,2013.0,2014-01-22,2014-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 Minutes With, Education ,4400000.0,operating,GBR,,London,London,2.0,2013-01-01,2013-01,2013.0,2013-01-01,2014-10-09,400000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-20 Media, E-Commerce ,2050000.0,operating,USA,MD,Baltimore,Woodbine,4.0,2001-01-01,2001-01,2001.0,2009-06-18,2011-12-28,0.0,0.0,0.0,0.0,0.0,2050000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000 Corks, Search ,40000.0,operating,USA,OR,"Portland, Oregon",Lake Oswego,1.0,2008-01-01,2008-01,2008.0,2011-08-23,2011-08-23,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000 Markets, Marketplaces ,500000.0,acquired,,,,,1.0,2009-01-01,2009-01,2009.0,2009-05-15,2009-05-15,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000jobboersen.de, Curated Web ,0.0,operating,DEU,,Berlin,Berlin,1.0,,,,2011-09-16,2011-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000memories, Curated Web ,2535000.0,acquired,USA,CA,SF Bay Area,San Francisco,2.0,2010-07-01,2010-07,2010.0,2010-01-01,2011-02-16,15000.0,2520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000museums.com, Curated Web ,4962651.0,operating,USA,WA,Seattle,Bellevue,6.0,2008-01-01,2008-01,2008.0,2009-10-14,2014-09-19,0.0,3814772.0,0.0,0.0,0.0,1147879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001 Menus, Restaurants ,4059079.0,operating,FRA,,Paris,Paris,4.0,2010-11-20,2010-11,2010.0,2012-12-15,2013-11-13,522169.0,3536910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3536910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1006.tv, Media ,10000000.0,operating,CHN,,Beijing,Beijing,3.0,2009-01-01,2009-01,2009.0,2011-01-01,2014-07-31,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0
100du.tv, Hospitality ,3000000.0,operating,,,,,2.0,,,,2008-01-07,2010-08-13,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100e.com, Education ,4500000.0,operating,CHN,,Beijing,Beijing,2.0,,,,2006-01-01,2006-09-01,0.0,4500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100health, Health Care Information Technology ,420000.0,operating,USA,WI,Madison,Madison,1.0,2014-07-04,2014-07,2014.0,2014-11-26,2014-11-26,420000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100Plus, Analytics ,1250000.0,acquired,USA,CA,SF Bay Area,San Francisco,2.0,2011-09-16,2011-09,2011.0,2011-11-02,2011-11-30,750000.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010data, Software ,35000000.0,operating,USA,NY,New York City,New York,1.0,2000-01-01,2000-01,2000.0,2010-03-08,2010-03-08,0.0,35000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10°North, Fashion ,0.0,operating,CAN,ON,Toronto,Mississauga,1.0,2014-08-12,2014-08,2014.0,2014-08-12,2014-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10BestThings, Curated Web ,50000.0,closed,USA,OH,Cleveland,Cleveland,1.0,2009-04-01,2009-04,2009.0,2009-04-01,2009-04-01,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
